,Timestamp,Close,Volume_(BTC),Normalized_Change
0,1325317920,4.39,0.45558087,0.0
1896,1325431680,4.84,10.0,0.0
3612,1325534640,5.0,19.048,0.0
5545,1325650620,4.93,2.32,0.0
7167,1325747940,5.79,14.8,-0.006956521739130441
8968,1325856000,6.9,9.31055901,-0.014705882352941256
10702,1325960040,6.8,0.29585799,0.0
12459,1326065460,7.0,1.0,0.0
14524,1326189360,6.24,3.2051282,0.0
16123,1326285300,7.2,1.0,0.0
17581,1326372780,7.3,0.45890411,0.0
19031,1326459780,6.7,0.84328358,0.0
20930,1326573720,6.3,1.0,0.0
23518,1326729000,6.2,1.0,0.0
25361,1326839580,6.4,1.0,0.0
27260,1326953520,5.52,2.0,0.0
28790,1327045320,6.9,1.0388866,0.0
30971,1327176180,6.3,14.60434379,0.0
32463,1327265700,6.79,0.65,0.0
34229,1327371660,6.52,0.70705521,0.0
36071,1327482180,6.26,30.0,0.0
37841,1327588380,6.27,0.69803068,0.0
39372,1327680240,5.83,2.3777832,0.0
41482,1327806840,5.89,0.16808149,0.0
43488,1327927200,5.3,2.4,0.0
45010,1328018520,5.85,0.94188034,0.0
46483,1328106900,5.99,6.46744574,0.0
47999,1328197860,6.25,7.06038693,0.0
49465,1328285820,6.19,1.78,0.0
51227,1328391540,5.94,1.99,0.0
52679,1328478660,5.6,1.0,0.0
54212,1328570640,5.6,4.97,0.0
56387,1328701140,5.79,8.2294876,0.0
57937,1328794140,5.7,4.88934614,0.0
59403,1328882100,5.88,6.43027211,0.0
62212,1329050640,5.78,34.0,0.0
63664,1329137760,5.73,6.0,0.0
65106,1329224280,4.7,0.9,0.0
66588,1329313200,4.89,5.49488753,0.0
68064,1329401760,4.64,2.57327586,0.0
69633,1329495900,4.51,14.24,0.0
71164,1329587760,4.25,20.0,0.0
72609,1329674460,4.38,5.0,0.0
74084,1329762960,4.4,10.0,0.0
75720,1329861120,4.51,10.99,0.0
77257,1329953340,4.51,15.9,0.0022123893805309266
78697,1330039740,5.19,12.9,0.0
80670,1330158120,5.11,7.84931506,0.0
82220,1330251120,4.96,5.0,0.0
83767,1330343940,5.08,20.46590551,0.0
85372,1330440240,5.06,1.31620553,0.0
86814,1330526760,4.95,39.0,0.0
88301,1330615980,5.03,1.3916501,0.0
89775,1330704420,4.8,1.0,0.0
92503,1330868100,4.78,34.49724935,0.0
93943,1330954500,4.97,18.84208974,0.0
95423,1331043300,5.05,1.0,0.0
96892,1331131440,5.09,5.04911591,0.0
98335,1331218020,4.96,26.49395161,0.0
99894,1331311560,5.02,41.15161679,0.0
101361,1331399580,4.94,0.205,0.0
104041,1331560380,4.85,14.0,0.0
105515,1331648820,5.03,39.7257925,0.0
106978,1331736600,5.44,2.37683823,0.0
108430,1331823720,5.37,19.27560521,0.0
109928,1331913600,5.3,0.00600692,0.0
111500,1332007920,5.42,5.59778598,0.0
112942,1332094440,5.29,1.11720226,0.0
114383,1332180900,5.14,3.988575,0.0
115852,1332269040,4.8,48.08252805,0.004149377593361091
117611,1332374580,4.86,8.75,0.0
119546,1332490680,4.73,3.10272394,0.0
121334,1332597960,4.72,0.4,0.0
123601,1332733980,4.6,2.97,0.0
125137,1332826140,4.6,1.6,0.0
126642,1332916440,4.81,1.54878022,0.0
128192,1333009440,4.8,2.08333333,0.002079002079002035
129665,1333097820,4.8,15.241457,0.0
131170,1333188120,4.91,12.819815,0.0
132625,1333275420,4.85,6.5,0.008179959100204507
134086,1333363080,4.78,2.44884872,0.0
135526,1333449480,4.98,3.0,0.0
137065,1333541820,4.95,2.24230607,0.0
138682,1333638840,4.95,5.50899682,0.0
140147,1333726740,4.95,5.01862635,0.0
141634,1333815960,4.85,3.09525335,0.0
143242,1333912440,4.8,8.88121752,0.0
144683,1333998900,4.84,6.04629192,0.0
146695,1334119620,4.86,4.5,0.0
148542,1334230440,4.9,2.69183673,0.0
150073,1334322300,4.88,67.48037323,0.0
151627,1334415540,4.95,2.70082985,0.0
153189,1334509260,4.92,14.0,0.002028397565922878
154629,1334595660,4.96,3.01008065,0.0
156084,1334682960,4.99,3.90981964,0.0
157566,1334771880,5.15,50.0,0.0
159058,1334861400,5.16,1.92829457,0.0
160531,1334949780,5.15,9.45855978,0.0
162220,1335051120,5.24,5.0,0.0
163928,1335153600,5.23,9.41538462,-0.005769230769230817
165429,1335243660,5.05,7.69225459,-0.003976143141152997
166942,1335334440,5.13,88.4,-0.0019531249999999584
168560,1335431520,5.09,2.86620816,0.0
170329,1335537660,5.0,29.0,0.0
171821,1335627180,4.93,4.23970492,0.0
174327,1335777540,4.92,3.1928657,0.0
175773,1335864300,4.91,2.0,0.0
177353,1335959100,5.13,6.47560085,0.0
178801,1336045980,5.13,25.41520467,0.0
180247,1336132740,5.12,8.9956696,0.0
181855,1336229220,5.08,10.5,0.0
183549,1336330860,5.05,30.0,0.0
185073,1336422300,5.06,6.08025624,0.0
186542,1336510440,5.02,10.5,0.001988071570576675
188034,1336599960,5.02,46.41778021,0.001988071570576675
189584,1336692960,4.97,19.5,0.0
191047,1336780740,4.95,3.65046296,0.0
192797,1336885740,4.95,19.4,0.0
194588,1336993200,4.92,1.68508906,0.0
196043,1337080500,4.96,1.0,0.0
197623,1337175300,5.03,1.95228628,0.0
199070,1337262120,5.02,5.0,0.0
200635,1337356020,5.06,7.28572916,0.0
202113,1337444700,5.07,2.55029585,0.0
203568,1337532000,5.08,21.08858267,0.0
205037,1337620140,5.06,3.9,0.0
206692,1337719440,5.07,17.51479289,0.0
208229,1337811660,5.09,2.60150871,0.0
209689,1337899260,5.12,23.3203125,0.0
211282,1337994840,5.08,6.22623883,0.0
212806,1338086280,5.08,1.18110234,0.0
214260,1338173520,5.08,28.5,0.0
215941,1338274380,5.05,3.0,0.0
217415,1338362820,5.1,2.00784313,0.0
218929,1338453660,5.1,20.63,0.0
220380,1338540720,5.2,9.49234498,0.0
221868,1338630000,5.2,5.40169076,0.0
223470,1338726120,5.2,1.0,0.0
224914,1338812760,5.23,2.0,-0.0019157088122606658
226399,1338901860,5.4,1.75,0.0
227871,1338990180,5.47,19.91773308,0.0
229327,1339077540,5.46,11.57274401,0.0
230785,1339165020,5.62,108.12583501,0.0
232234,1339251960,5.59,22.29874776,0.0
